id_lista,id_partido,descripcion,nro_lista
85,23,Por la Gente,7071202
109,20,Lista B,704002
136,23,La Patriada,707050
145,26,Lista A,710001
42,82,Las Rojas,713001
112,18,MMXV,702005
102,21,Unidad,705101
119,23,Revolución Urbana,7070326
87,16,Transparencia y Gestión,700301
114,23,Ciudad para Todos,7070519
128,16,Sumá Trasparencia,700405
30,80,Lista Común,327
120,25,Ciudad Justa,709092
149,24,Fortaleza,708002
151,24,Trabajo y Progreso,708004
84,18,Hay Equipo,702003
108,20,Lista A,704001
133,21,Lista 2,705003
94,16,Abrimos BA,700103
148,21,Lista 4,705005
106,25,Vientos de Cambio,709001
141,21,Lista 3,705004
116,23,Movimiento Unidad Popular,7070820
83,23,Justicia Social,7070901
137,61,Lista Única,22001
147,24,Frente Renovador,708001
155,23,Podemos Vivir Mejor,7070160
139,23,Lista Unidos y Organizados,7071152
129,16,Sumá +,700208
29,81,Caminamos Preguntando,187001
144,17,Lista Unidad,701001
79,23,Frente Sí,7070602
127,21,Lista 1,705002
125,23,La Ciudad es el Otro,7070740
157,35,Compromiso Federal,63001
103,23,Unidos por la Ciudad,7070213
92,18,Sigamos con el Cambio,702002
124,19,Lista Celeste y Blanca,703001
115,23,Espacio Abierto Aluvión ,7070420
107,22,Otro Camino para Gobernar,706001
